ISO 8601 Time,Temperature (C),Pressure (dbar),Ax,Ay,Az
2025-08-06T08:48:13.000Z,23.544,10.294,242,-9,-26
2025-08-06T08:48:14.000Z,23.547,10.299,249,-12,-25
2025-08-06T08:48:15.000Z,23.548,10.309,254,-9,-29
2025-08-06T08:48:16.000Z,23.551,10.315,250,-9,-23
2025-08-06T08:48:17.000Z,23.554,10.299,240,-3,-15
2025-08-06T08:48:18.000Z,23.555,10.299,247,-6,-21
2025-08-06T08:48:19.000Z,23.556,10.299,257,-11,-28
2025-08-06T08:48:20.000Z,23.558,10.315,255,-21,-20
2025-08-06T08:48:21.000Z,23.561,10.309,237,-46,-39
2025-08-06T08:48:22.000Z,23.561,10.309,242,-13,-21
2025-08-06T08:48:23.000Z,23.559,10.325,225,-12,-26
2025-08-06T08:48:24.000Z,23.559,10.325,233,24,-24
2025-08-06T08:48:25.000Z,23.558,10.340,254,18,-23
2025-08-06T08:48:26.000Z,23.561,10.330,266,-11,-28
2025-08-06T08:48:27.000Z,23.562,10.330,268,-19,7
2025-08-06T08:48:28.000Z,23.565,10.315,246,-17,-3
2025-08-06T08:48:29.000Z,23.566,10.315,235,-17,-20
2025-08-06T09:12:47.000Z,23.483,11.608,221,-21,-2
2025-08-06T09:12:49.000Z,23.483,12.127,231,-13,-12
2025-08-06T09:12:50.000Z,23.484,12.479,260,-9,-23
2025-08-06T09:12:52.000Z,23.484,13.693,244,-16,-22
2025-08-06T09:12:53.000Z,23.485,14.382,254,-11,-24
2025-08-06T09:12:54.000Z,23.485,14.886,249,-4,-21
2025-08-06T09:12:55.000Z,23.485,15.455,252,6,-24
2025-08-06T09:12:56.000Z,23.485,16.124,223,6,-14
2025-08-06T09:12:57.000Z,23.487,17.091,245,3,-16
2025-08-06T09:12:58.000Z,23.487,18.395,264,-1,-21
2025-08-06T09:12:59.000Z,23.487,19.100,239,1,-17
2025-08-06T09:13:00.000Z,23.487,19.714,243,-1,-23
2025-08-06T09:13:01.000Z,23.487,20.666,261,0,-21
2025-08-06T09:13:02.000Z,23.487,21.753,292,-6,-22
2025-08-06T09:13:03.000Z,23.487,22.423,249,-5,-24
2025-08-06T09:13:04.000Z,23.487,22.614,230,-1,-20
2025-08-06T09:13:06.000Z,23.485,23.978,240,6,-16
2025-08-06T09:13:07.000Z,23.485,25.600,263,3,-28
2025-08-06T09:13:08.000Z,23.426,26.818,250,3,-24
2025-08-06T09:13:09.000Z,23.120,27.422,245,-3,-25
2025-08-06T09:13:10.000Z,22.518,27.714,245,-2,-21
2025-08-06T09:13:12.000Z,21.443,29.134,235,9,-21
2025-08-06T09:13:13.000Z,20.844,30.131,249,10,-21
2025-08-06T09:13:14.000Z,20.512,30.976,246,8,-18
2025-08-06T09:13:15.000Z,20.308,31.656,255,5,-23
2025-08-06T09:13:16.000Z,20.217,32.230,225,7,-22
2025-08-06T09:13:17.000Z,20.075,33.202,254,3,-18
2025-08-06T09:13:18.000Z,19.868,34.229,284,0,-20
2025-08-06T09:13:19.000Z,19.634,35.059,271,-6,-13
2025-08-06T09:13:20.000Z,19.059,35.840,256,-5,-14
2025-08-06T09:13:21.000Z,18.227,36.540,231,-1,-19
2025-08-06T09:13:22.000Z,17.457,37.250,235,-1,-17
2025-08-06T09:13:23.000Z,16.845,38.025,252,-1,-14
2025-08-06T09:13:24.000Z,16.300,38.609,248,-2,-10
2025-08-06T09:13:25.000Z,16.016,39.339,248,-2,-15
2025-08-06T09:13:26.000Z,15.793,40.220,229,-4,-10
2025-08-06T09:13:27.000Z,15.461,41.680,246,-9,-11
2025-08-06T09:13:28.000Z,14.979,43.024,265,-8,-15
2025-08-06T09:13:29.000Z,14.614,43.568,271,-7,-18
2025-08-06T09:13:30.000Z,14.449,43.306,225,-6,-16
2025-08-06T09:13:32.000Z,14.242,44.273,238,-7,-11
2025-08-06T09:13:33.000Z,13.952,45.562,249,-13,-9
2025-08-06T09:13:34.000Z,13.562,46.951,257,-12,-1
2025-08-06T09:13:35.000Z,13.109,48.124,282,-14,-12
2025-08-06T09:13:36.000Z,12.791,48.688,240,-6,-10
2025-08-06T09:13:37.000Z,12.678,49.010,252,-9,-10
2025-08-06T09:13:39.000Z,12.427,50.153,264,-6,-7
2025-08-06T09:13:40.000Z,12.488,51.226,257,-12,-8
2025-08-06T09:13:41.000Z,12.487,52.293,262,-16,-12
2025-08-06T09:13:42.000Z,12.458,52.489,241,-12,-7
2025-08-06T09:13:44.000Z,12.385,52.419,312,-23,-13
2025-08-06T09:13:46.000Z,12.378,54.971,229,-19,0
2025-08-06T09:13:47.000Z,12.319,56.376,238,-20,-7
2025-08-06T09:13:48.000Z,12.106,58.229,246,-26,-4
2025-08-06T09:13:49.000Z,12.004,59.920,232,-33,-8
2025-08-06T09:13:50.000Z,11.904,61.486,232,-27,-9
2025-08-06T09:13:51.000Z,11.875,61.949,242,-7,-12
2025-08-06T09:13:53.000Z,11.858,65.055,249,-32,-23
2025-08-06T09:13:54.000Z,11.904,66.979,255,-40,-13
2025-08-06T09:13:55.000Z,11.965,68.680,215,-32,-10
2025-08-06T09:13:56.000Z,12.014,69.597,260,-27,-17
2025-08-06T09:13:57.000Z,12.070,70.387,230,-31,-13
2025-08-06T09:13:58.000Z,12.142,71.842,257,-36,-20
2025-08-06T09:13:59.000Z,12.205,73.609,257,-39,-22
2025-08-06T09:14:00.000Z,12.376,75.215,231,-37,-27
2025-08-06T09:14:01.000Z,12.496,76.711,246,-33,-29
2025-08-06T09:14:02.000Z,12.532,78.291,247,-29,-33
2025-08-06T09:14:03.000Z,12.547,79.610,250,-14,-32
2025-08-06T09:14:04.000Z,12.554,80.627,253,-16,-36
2025-08-06T09:14:05.000Z,12.561,81.710,218,-24,-26
2025-08-06T09:14:06.000Z,12.587,83.437,244,-29,-29
2025-08-06T09:14:07.000Z,12.634,85.501,263,-3,-39
2025-08-06T09:14:08.000Z,12.664,86.800,252,-1,-31
2025-08-06T09:14:09.000Z,12.679,87.933,222,7,-24
2025-08-06T09:14:10.000Z,12.675,89.503,243,-1,-29
2025-08-06T09:14:11.000Z,12.677,91.442,273,12,-28
2025-08-06T09:14:12.000Z,12.710,92.892,277,5,-29
2025-08-06T09:14:13.000Z,12.738,93.692,262,1,-28
2025-08-06T09:14:14.000Z,12.751,94.785,255,12,-27
2025-08-06T09:14:15.000Z,12.763,96.446,274,8,-17
2025-08-06T09:14:16.000Z,12.815,98.223,244,18,-12
2025-08-06T09:14:17.000Z,12.878,99.708,239,8,-16
2025-08-06T09:14:18.000Z,12.981,101.254,246,9,-14
2025-08-06T09:14:19.000Z,13.006,102.674,212,16,-14
2025-08-06T09:14:20.000Z,12.989,104.114,264,10,-15
2025-08-06T09:14:21.000Z,12.985,105.554,233,11,-2
2025-08-06T09:14:22.000Z,12.988,107.200,246,10,-8
2025-08-06T09:14:23.000Z,12.988,108.725,237,9,-14
2025-08-06T09:14:24.000Z,12.989,110.055,230,15,-14
2025-08-06T09:14:25.000Z,12.992,111.157,257,8,-22
2025-08-06T09:14:26.000Z,12.993,112.255,213,13,-12
2025-08-06T09:14:27.000Z,12.994,113.503,223,10,-5
2025-08-06T09:14:28.000Z,12.998,115.195,226,12,-13
2025-08-06T09:14:29.000Z,13.012,117.269,272,8,-11
2025-08-06T09:14:30.000Z,13.027,119.026,266,5,-13
2025-08-06T09:14:31.000Z,13.038,120.315,229,9,-4
2025-08-06T09:14:32.000Z,13.047,121.483,267,6,-14
2025-08-06T09:14:33.000Z,13.061,122.691,252,14,-16
2025-08-06T09:14:34.000Z,13.070,123.985,218,18,-13
2025-08-06T09:14:35.000Z,13.072,125.370,263,19,-19
2025-08-06T09:14:36.000Z,13.075,126.795,225,13,-12
2025-08-06T09:14:37.000Z,13.075,128.149,221,14,-20
2025-08-06T09:14:38.000Z,13.075,129.423,204,15,-17
2025-08-06T09:14:39.000Z,13.072,130.923,209,1,-24
2025-08-06T09:14:40.000Z,13.071,132.851,260,0,-12
2025-08-06T09:14:41.000Z,13.081,134.492,272,6,-9
2025-08-06T09:14:42.000Z,13.103,135.449,249,7,-18
2025-08-06T09:14:43.000Z,13.119,136.214,245,9,-14
2025-08-06T09:14:44.000Z,13.143,137.483,229,9,-7
2025-08-06T09:14:45.000Z,13.161,139.336,274,1,-8
2025-08-06T09:14:46.000Z,13.163,141.108,241,2,-10
2025-08-06T09:14:47.000Z,13.172,142.578,280,0,-5
2025-08-06T09:14:48.000Z,13.178,143.887,207,-1,2
2025-08-06T09:14:49.000Z,13.178,145.216,212,0,2
